Week,AMC Profit,AMC Loss,AMC Buy,AMC Sell,AMC Stock Up,AMC Stock Down,Trend
7/26/2020,0,4,1,0,1,0,1
8/2/2020,13,0,1,0,0,0,0
8/9/2020,0,0,2,2,0,2,1
8/16/2020,0,0,2,1,1,1,0
8/23/2020,8,6,2,1,0,1,0
8/30/2020,0,0,1,1,1,1,0
9/6/2020,0,0,1,1,0,0,0
9/13/2020,0,0,1,0,0,3,1
9/20/2020,5,5,1,1,0,0,0
9/27/2020,0,0,1,1,0,0,0
10/4/2020,0,9,1,1,0,0,1
10/11/2020,0,0,2,1,0,2,1
10/18/2020,0,0,2,0,1,0,0
10/25/2020,13,0,1,1,1,0,0
11/1/2020,0,5,1,1,1,1,1
11/8/2020,0,0,2,1,2,2,0
11/15/2020,0,15,2,2,0,0,1
11/22/2020,0,0,2,1,1,1,0
11/29/2020,0,6,2,0,0,4,1
12/6/2020,0,0,1,1,0,0,0
12/13/2020,14,7,2,2,0,0,0
12/20/2020,0,5,2,0,1,0,1
12/27/2020,0,0,2,1,0,0,0
1/3/2021,5,9,2,2,1,0,1
1/10/2021,0,6,2,2,1,3,1
1/17/2021,0,4,3,3,2,0,1
1/24/2021,100,100,100,100,100,100,0
1/31/2021,55,50,47,51,56,42,0
2/7/2021,6,19,11,12,16,9,1
2/14/2021,0,4,7,3,5,6,1
2/21/2021,9,21,8,10,15,16,1
2/28/2021,8,14,5,6,6,8,1
3/7/2021,0,12,5,9,7,6,1
3/14/2021,14,21,7,7,8,7,1
3/21/2021,9,12,5,5,5,5,1
3/28/2021,0,4,3,4,4,3,1
4/4/2021,0,6,3,3,3,2,1
4/11/2021,0,9,4,3,4,4,1
4/18/2021,0,10,4,3,4,2,1
4/25/2021,7,5,4,5,4,3,0
5/2/2021,6,8,5,4,6,2,0
5/9/2021,0,0,7,6,8,5,0
5/16/2021,20,12,6,9,8,8,0
5/23/2021,34,39,15,23,22,12,1
5/30/2021,92,60,31,61,48,25,0
6/6/2021,21,33,14,18,18,15,1
6/13/2021,0,13,11,14,14,10,1
6/20/2021,25,17,7,10,7,10,0
6/27/2021,12,3,6,8,6,6,0
7/4/2021,17,13,7,7,6,9,0
7/11/2021,10,6,6,9,8,12,1
7/18/2021,7,13,5,5,6,5,1
7/25/2021,18,0,4,3,3,5,0
8/1/2021,7,8,4,4,4,6,1
8/8/2021,0,8,4,4,4,3,1
8/15/2021,0,4,4,5,3,5,1
8/22/2021,7,0,5,4,6,5,0
8/29/2021,0,10,3,3,3,3,1
9/5/2021,0,7,3,4,3,2,1
9/12/2021,6,11,2,4,4,4,1
9/19/2021,7,11,3,3,2,4,1
9/26/2021,0,4,3,3,3,2,1
10/3/2021,12,11,3,2,1,7,1
10/10/2021,0,4,3,1,2,2,1
10/17/2021,14,14,3,3,1,2,1
10/24/2021,0,18,3,4,2,2,1
10/31/2021,14,11,3,3,3,3,0
11/7/2021,8,0,4,3,3,3,0
11/14/2021,0,0,3,3,3,3,0
11/21/2021,0,0,4,2,2,0,0
11/28/2021,17,13,6,4,2,9,1
12/5/2021,0,11,3,2,2,2,1
12/12/2021,11,0,5,6,4,4,0
12/19/2021,7,10,6,5,1,3,1
12/26/2021,6,7,4,3,2,2,0
1/2/2022,7,17,4,3,1,4,1
1/9/2022,0,4,2,2,2,3,1
1/16/2022,0,0,3,5,2,0,0
1/23/2022,18,5,2,4,3,3,0
1/30/2022,0,0,3,4,2,0,0
2/6/2022,0,9,2,2,2,2,1
2/13/2022,0,10,3,3,2,3,1
2/20/2022,0,9,3,2,1,0,1
2/27/2022,10,0,3,3,1,1,0
3/6/2022,0,7,3,3,2,1,1
3/13/2022,15,6,4,3,2,0,0
3/20/2022,0,13,3,3,2,1,1
3/27/2022,15,8,3,4,5,3,0
4/3/2022,5,8,3,2,1,2,1
4/10/2022,12,7,3,2,1,3,0
4/17/2022,0,13,3,3,1,1,1
4/24/2022,4,5,2,1,2,1,0
5/1/2022,11,6,3,3,1,2,0
5/8/2022,0,6,3,3,3,4,1
5/15/2022,7,11,2,2,2,1,1
5/22/2022,6,9,3,2,1,1,1
5/29/2022,12,12,3,3,1,0,0
6/5/2022,9,14,3,3,1,2,1
6/12/2022,0,14,3,3,1,0,1
6/19/2022,5,0,3,2,2,1,0
6/26/2022,0,0,3,3,1,2,1
7/3/2022,7,9,4,3,1,2,1
7/10/2022,0,8,3,3,0,0,1
7/17/2022,0,11,2,3,2,0,1
7/24/2022,5,5,2,2,1,2,1
7/31/2022,0,11,2,2,2,0,1
8/7/2022,0,7,3,3,3,2,1
8/14/2022,0,13,3,4,2,3,1
8/21/2022,16,13,3,5,3,4,0
8/28/2022,5,14,3,3,0,1,1
9/4/2022,11,6,2,1,1,4,0
9/11/2022,5,7,1,1,2,2,1
9/18/2022,8,12,2,2,0,3,1
9/25/2022,0,12,2,2,1,4,1
10/2/2022,9,9,2,2,0,0,0
10/9/2022,6,0,3,3,1,2,0
10/16/2022,0,18,2,2,1,1,1
10/23/2022,10,0,2,3,1,2,0
10/30/2022,6,9,2,1,1,1,1
11/6/2022,8,11,2,2,1,0,1
11/13/2022,0,4,2,2,1,2,1
11/20/2022,0,9,3,2,0,1,1
11/27/2022,0,4,2,1,0,3,1
12/4/2022,0,6,2,2,1,1,1
12/11/2022,0,4,2,1,1,0,1
12/18/2022,5,7,3,1,0,3,1
12/25/2022,7,12,3,3,1,3,1
1/1/2023,13,24,3,1,1,2,1
1/8/2023,0,9,2,2,1,0,1
1/15/2023,6,9,2,1,1,2,1
1/22/2023,10,16,2,2,1,0,1
1/29/2023,7,6,2,2,0,0,0
2/5/2023,0,13,2,2,1,3,1
2/12/2023,5,21,2,2,1,1,1
2/19/2023,0,4,2,2,1,0,1
2/26/2023,0,5,2,3,1,2,1
3/5/2023,17,13,2,0,1,1,0
3/12/2023,0,4,3,2,1,3,1
3/19/2023,6,10,2,2,2,2,1
3/26/2023,0,16,3,2,1,1,1
4/2/2023,10,11,3,4,2,2,1
4/9/2023,10,3,3,3,1,1,0
4/16/2023,0,17,2,2,1,1,1
4/23/2023,0,8,2,2,1,0,1
4/30/2023,5,12,2,1,1,2,1
5/7/2023,0,8,2,1,0,0,1
5/14/2023,6,12,2,3,1,1,1
5/21/2023,0,5,3,2,0,0,1
5/28/2023,0,6,3,2,1,0,1
6/4/2023,0,19,3,1,1,0,1
6/11/2023,7,9,3,2,1,2,1
6/18/2023,7,0,2,2,1,4,0
6/25/2023,10,17,2,2,1,0,1
7/2/2023,0,5,3,3,0,0,1
7/9/2023,0,10,3,3,1,0,1
7/16/2023,0,21,5,3,2,1,1
